Department,Date,Active Cases
LAMBAYEQUE,2020-04-20,146
LIMA,2020-04-20,1124
LORETO,2020-04-20,42
MADRE DE DIOS,2020-04-20,5
MOQUEGUA,2020-04-20,9
PASCO,2020-04-20,13
PIURA,2020-04-20,54
PUNO,2020-04-20,10
SAN MARTIN,2020-04-20,7
TACNA,2020-04-20,7
TUMBES,2020-04-20,17
UCAYALI,2020-04-20,26
AMAZONAS,2020-04-21,7
ANCASH,2020-04-21,45
APURIMAC,2020-04-21,8
AREQUIPA,2020-04-21,28
AYACUCHO,2020-04-21,1
CAJAMARCA,2020-04-21,9
CALLAO,2020-04-21,432
CUSCO,2020-04-21,7
HUANCAVELICA,2020-04-21,1
HUANUCO,2020-04-21,10
ICA,2020-04-21,22
JUNIN,2020-04-21,28
LA LIBERTAD,2020-04-21,45
LAMBAYEQUE,2020-04-21,133
LIMA,2020-04-21,1248
LORETO,2020-04-21,20
MADRE DE DIOS,2020-04-21,6
MOQUEGUA,2020-04-21,8
PASCO,2020-04-21,12
PIURA,2020-04-21,50
PUNO,2020-04-21,16
SAN MARTIN,2020-04-21,5
TACNA,2020-04-21,6
TUMBES,2020-04-21,2
UCAYALI,2020-04-21,23
AMAZONAS,2020-04-22,2
ANCASH,2020-04-22,30
APURIMAC,2020-04-22,4
AREQUIPA,2020-04-22,43
AYACUCHO,2020-04-22,2
CAJAMARCA,2020-04-22,35
CALLAO,2020-04-22,124
CUSCO,2020-04-22,19
HUANCAVELICA,2020-04-22,4
HUANUCO,2020-04-22,5
ICA,2020-04-22,32
JUNIN,2020-04-22,20
LA LIBERTAD,2020-04-22,47
LAMBAYEQUE,2020-04-22,138
LIMA,2020-04-22,1433
LORETO,2020-04-22,18
MADRE DE DIOS,2020-04-22,13
MOQUEGUA,2020-04-22,4
PASCO,2020-04-22,9
PIURA,2020-04-22,72
PUNO,2020-04-22,8
SAN MARTIN,2020-04-22,5
TACNA,2020-04-22,8
TUMBES,2020-04-22,7
UCAYALI,2020-04-22,24
AMAZONAS,2020-04-23,2
ANCASH,2020-04-23,46
APURIMAC,2020-04-23,5
AREQUIPA,2020-04-23,56
AYACUCHO,2020-04-23,2
CAJAMARCA,2020-04-23,8
CALLAO,2020-04-23,159
CUSCO,2020-04-23,14
HUANCAVELICA,2020-04-23,3
HUANUCO,2020-04-23,9
ICA,2020-04-23,34
JUNIN,2020-04-23,22
LA LIBERTAD,2020-04-23,40
LAMBAYEQUE,2020-04-23,177
LIMA,2020-04-23,1279
LORETO,2020-04-23,25
MADRE DE DIOS,2020-04-23,3
MOQUEGUA,2020-04-23,7
PASCO,2020-04-23,12
PIURA,2020-04-23,103
PUNO,2020-04-23,8
SAN MARTIN,2020-04-23,2
TACNA,2020-04-23,14
TUMBES,2020-04-23,12
UCAYALI,2020-04-23,15
AMAZONAS,2020-04-24,6
ANCASH,2020-04-24,56
APURIMAC,2020-04-24,2
AREQUIPA,2020-04-24,66
AYACUCHO,2020-04-24,5
CAJAMARCA,2020-04-24,22
CALLAO,2020-04-24,124
CUSCO,2020-04-24,3
HUANCAVELICA,2020-04-24,3
HUANUCO,2020-04-24,9
ICA,2020-04-24,16
JUNIN,2020-04-24,11
LA LIBERTAD,2020-04-24,22
LAMBAYEQUE,2020-04-24,214
LIMA,2020-04-24,1311
LORETO,2020-04-24,79
MADRE DE DIOS,2020-04-24,3
MOQUEGUA,2020-04-24,16
PASCO,2020-04-24,10
PIURA,2020-04-24,152
PUNO,2020-04-24,17
SAN MARTIN,2020-04-24,13
TACNA,2020-04-24,8
TUMBES,2020-04-24,20
UCAYALI,2020-04-24,51
AMAZONAS,2020-04-25,9
ANCASH,2020-04-25,56
APURIMAC,2020-04-25,19
AREQUIPA,2020-04-25,24
AYACUCHO,2020-04-25,7
CAJAMARCA,2020-04-25,17
CALLAO,2020-04-25,170
CUSCO,2020-04-25,11
HUANCAVELICA,2020-04-25,14
HUANUCO,2020-04-25,48
ICA,2020-04-25,30
JUNIN,2020-04-25,15
LA LIBERTAD,2020-04-25,53
LAMBAYEQUE,2020-04-25,136
LIMA,2020-04-25,1415
LORETO,2020-04-25,84
MADRE DE DIOS,2020-04-25,7
MOQUEGUA,2020-04-25,19
PASCO,2020-04-25,16
PIURA,2020-04-25,158
PUNO,2020-04-25,20
SAN MARTIN,2020-04-25,29
TACNA,2020-04-25,7
TUMBES,2020-04-25,12
UCAYALI,2020-04-25,21
AMAZONAS,2020-04-26,8
ANCASH,2020-04-26,12
APURIMAC,2020-04-26,5
AREQUIPA,2020-04-26,4
AYACUCHO,2020-04-26,13
CAJAMARCA,2020-04-26,3
CALLAO,2020-04-26,67
CUSCO,2020-04-26,1
HUANCAVELICA,2020-04-26,11
HUANUCO,2020-04-26,6
ICA,2020-04-26,10
JUNIN,2020-04-26,12
LA LIBERTAD,2020-04-26,8
LAMBAYEQUE,2020-04-26,71
